GO_x,GO_y
3068.18,40382.7
3066.8,40353.1
3065.42,40430.6
3064.04,40431.2
3062.65,40522.9
3061.27,40429.1
3059.88,40424.1
3058.5,40532.7
3057.11,40480.9
3055.73,40495.1
3054.34,40504.9
3052.96,40533.5
3051.57,40532.1
3050.18,40628.5
3048.8,40539.1
3047.41,40548.4
3046.02,40581.5
3044.63,40674.6
3043.24,40746.8
3041.85,40782.2
3040.46,40858.9
3039.07,40955.7
3037.68,41058.8
3036.29,41112.2
3034.9,41327.9
3033.51,41423.9
3032.12,41613.2
3030.73,41638.3
3029.34,41795.7
3027.94,42083.1
3026.55,42266.8
3025.16,42392
3023.76,42608.2
3022.37,42773.3
3020.97,42983.5
3019.58,43046.1
3018.18,43270.6
3016.79,43472.6
3015.39,43689.6
3014,43830.9
3012.6,44001.7
3011.2,44024.6
3009.81,44199
3008.41,44339.7
3007.01,44393.6
3005.61,44586.7
3004.21,44742.9
3002.81,44905.8
3001.41,45088.6
3000.01,45208.8
2998.61,45374.7
2997.21,45486.5
2995.81,45603.5
2994.41,45784.1
2993.01,45816.1
2991.61,45883.2
2990.21,46044.5
2988.8,46111.8
2987.4,46225.5
2986,46309.3
2984.59,46437.2
2983.19,46576.7
2981.78,46632.3
2980.38,46800.5
2978.97,46830.3
2977.57,46902.1
2976.16,46938.8
2974.76,47131.3
2973.35,47134.8
2971.94,47110.1
2970.54,47241.5
2969.13,47347.8
2967.72,47538.2
2966.31,47704.2
2964.9,47811.3
2963.49,47927.8
2962.08,47903.4
2960.67,47981.3
2959.26,48198.9
2957.85,48263.6
2956.44,48329.5
2955.03,48409.3
2953.62,48452.5
2952.21,48415.4
2950.8,48444.8
2949.38,48405.4
2947.97,48365
2946.56,48401.2
2945.14,48419.6
2943.73,48468.8
2942.31,48364
2940.9,48557.4
2939.48,48502.3
2938.07,48533.2
2936.65,48667.3
2935.24,48579.8
2933.82,48642.5
2932.4,48649.6
2930.98,48723.2
2929.57,48654.8
2928.15,48597.6
2926.73,48550.7
2925.31,48663
2923.89,48625.8
2922.47,48626
2921.05,48625.8
2919.63,48615.5
2918.21,48699.1
2916.79,48717.6
2915.37,48764.2
2913.95,48702.9
2912.52,48803.6
2911.1,48863.4
2909.68,48914.4
2908.26,48940.7
2906.83,49064.3
2905.41,49150.4
2903.98,49264.4
2902.56,49308.1
2901.13,49359.7
2899.71,49410.1
2898.28,49407.4
2896.86,49482.7
2895.43,49403.3
2894,49492.4
2892.58,49488.4
2891.15,49440.6
2889.72,49569.6
2888.29,49429.8
2886.86,49462.4
2885.44,49542.2
2884.01,49670.1
2882.58,49549.7
2881.15,49670.9
2879.72,49676.5
2878.28,49714.9
2876.85,49704.7
2875.42,49825.6
2873.99,49821.2
2872.56,49957.6
2871.12,49904.9
2869.69,49942.2
2868.26,50004.6
2866.82,50009.8
2865.39,50073.8
2863.96,50054.2
2862.52,50074.4
2861.09,50059.4
2859.65,50103
2858.21,50207.4
2856.78,50101.7
2855.34,50210.2
2853.9,50158.1
2852.47,50088.2
2851.03,50030.6
2849.59,50031.9
2848.15,50012.2
2846.71,49963.7
2845.27,49805.6
2843.83,49814.2
2842.39,49637.4
2840.95,49692.8
2839.51,49597.4
2838.07,49615.3
2836.63,49607.5
2835.19,49455.2
2833.75,49468.1
2832.3,49465.6
2830.86,49307
2829.42,49402.8
2827.97,49342.5
2826.53,49352.2
2825.09,49349.8
2823.64,49280.1
2822.2,49290.1
2820.75,49333.8
2819.3,49369.7
2817.86,49341.7
2816.41,49367.2
2814.96,49334.2
2813.52,49348.8
2812.07,49359.7
2810.62,49444.9
2809.17,49396.3
2807.72,49459.4
2806.27,49572.7
2804.82,49535.7
2803.38,49650.1
2801.92,49676.1
2800.47,49746.9
2799.02,49752.1
2797.57,49756
2796.12,49769.8
2794.67,49807.5
2793.22,49862.1
2791.76,49912.7
2790.31,49873.6
2788.86,50000.9
2787.4,50031.3
2785.95,49918.8
2784.49,49967.8
2783.04,49898.7
2781.58,49907.4
2780.13,49882.2
2778.67,49814.7
2777.21,49796.2
2775.76,49790.9
2774.3,49706.9
2772.84,49705.8
2771.38,49837.4
2769.92,49799.9
2768.47,49772.4
2767.01,49817.4
2765.55,49713.2
2764.09,49768.4
2762.63,49641.8
2761.17,49660.9
2759.71,49529.9
2758.24,49478.2
2756.78,49378.9
2755.32,49381.3
2753.86,49212.6
2752.39,49053
2750.93,48998.7
2749.47,48917.2
2748,48935.6
2746.54,48955.7
2745.07,48835.5
2743.61,48737.7
2742.14,48639.6
2740.68,48646.1
2739.21,48547
2737.75,48532.7
2736.28,48449.8
2734.81,48321.8
2733.34,48250.4
2731.88,48136.3
2730.41,48045.1
2728.94,47962.6
2727.47,47788.9
2726,47744.7
2724.53,47676.6
2723.06,47756.9
2721.59,47658.2
2720.12,47482.2
2718.65,47366.7
2717.17,47279.5
2715.7,47154.9
2714.23,47137.5
2712.76,46947.2
2711.28,46807.9
2709.81,46654.9
2708.34,46681.4
2706.86,46539.8
2705.39,46532.9
2703.91,46473.9
2702.44,46446.4
2700.96,46288.6
2699.48,46309.3
2698.01,46199.7
2696.53,46095.9
2695.05,45992.4
2693.58,46000.4
2692.1,46029.1
2690.62,45876.4
2689.14,45882.7
2687.66,45762.5
2686.18,45743.6
2684.7,45796
2683.22,45732.2
2681.74,45573.8
2680.26,45699.9
2678.78,45622.7
2677.3,45603.6
2675.81,45495.7
2674.33,45464.3
2672.85,45480.6
2671.36,45417.3
2669.88,45198.7
2668.4,45222.1
2666.91,45243.9
2665.43,45135.8
2663.94,45061
2662.46,44940.9
2660.97,44827.9
2659.48,44834.4
2658,44736.7
2656.51,44799.4
2655.02,44603.6
2653.53,44628.9
2652.05,44545.8
2650.56,44420.4
2649.07,44320.9
2647.58,44157
2646.09,44155.3
2644.6,44046.5
2643.11,43907.6
2641.62,43817.7
2640.13,43707.8
2638.63,43607.1
2637.14,43533.6
2635.65,43486.9
2634.16,43392.1
2632.66,43157.9
2631.17,42998.7
2629.68,42952.9
2628.18,42809
2626.69,42853
