GO_X,GO_Y
762.982558,69.735299 
764.419436,69.836110 
765.856315,69.968946 
767.293194,70.055713 
768.730072,70.088162 
770.166951,70.096427 
771.603830,70.168894 
773.040708,70.286727 
774.477587,70.296985 
775.914465,70.284708 
777.351344,70.410614 
778.788223,70.527922 
780.225101,70.553239 
781.661980,70.591217 
783.098859,70.628281 
784.535737,70.680693 
785.972616,70.768382 
787.409495,70.805692 
788.846373,70.857864 
790.283252,70.980660 
791.720131,71.093431 
793.157009,71.186809 
794.593888,71.221990 
796.030766,71.202786 
797.467645,71.235969 
798.904524,71.317921 
800.341402,71.437889 
801.778281,71.565611 
803.215160,71.622540 
804.652038,71.662185 
806.088917,71.684042 
807.525796,71.684165 
808.962674,71.770516 
810.399553,71.856638 
811.836431,71.881344 
813.273310,71.965253 
814.710189,72.071920 
816.147067,72.134169 
817.583946,72.163618 
819.020825,72.179976 
820.457703,72.245036 
821.894582,72.323108 
823.331461,72.385589 
824.768339,72.479704 
826.205218,72.550933 
827.642097,72.610487 
829.078975,72.691868 
830.515854,72.725846 
831.952732,72.766716 
833.389611,72.868728 
834.826490,72.981318 
836.263368,73.089734 
837.700247,73.155886 
839.137126,73.191309 
840.574004,73.251881 
842.010883,73.316216 
843.447762,73.388343 
844.884640,73.459278 
846.321519,73.502951 
847.758397,73.571632 
849.195276,73.673415 
850.632155,73.773249 
852.069033,73.857053 
853.505912,73.920866 
854.942791,73.980583 
856.379669,74.026484 
857.816548,74.083934 
859.253427,74.168980 
860.690305,74.214398 
862.127184,74.266718 
863.564063,74.351871 
865.000941,74.371358 
866.437820,74.382289 
867.874698,74.447919 
869.311577,74.521550 
870.748456,74.610911 
872.185334,74.682236 
873.622213,74.727971 
875.059092,74.790619 
876.495970,74.834423 
877.932849,74.886432 
879.369728,74.963625 
880.806606,75.000232 
882.243485,75.016978 
883.680363,75.036442 
885.117242,75.070945 
886.554121,75.135387 
887.990999,75.166001 
889.427878,75.164555 
890.864757,75.160172 
892.301635,75.162600 
893.738514,75.229215 
895.175393,75.289946 
896.612271,75.282430 
898.049150,75.279648 
899.486029,75.264165 
900.922907,75.242144 
902.359786,75.246723 
903.796664,75.197680 
905.233543,75.117724 
906.670422,75.070791 
908.107300,75.026417 
909.544179,74.977714 
910.981058,74.905759 
912.417936,74.817413 
913.854815,74.739688 
915.291694,74.647404 
916.728572,74.571766 
918.165451,74.506960 
919.602329,74.393321 
921.039208,74.275885 
922.476087,74.176758 
923.912965,74.067502 
925.349844,73.952166 
926.786723,73.831491 
928.223601,73.718356 
929.660480,73.597884 
931.097359,73.475281 
932.534237,73.381678 
933.971116,73.263830 
935.407995,73.124344 
936.844873,73.013272 
938.281752,72.908970 
939.718630,72.798666 
941.155509,72.649680 
942.592388,72.501078 
944.029266,72.413733 
945.466145,72.288902 
946.903024,72.162907 
948.339902,72.116789 
949.776781,72.025539 
951.213660,71.884249 
952.650538,71.755756 
954.087417,71.649090 
955.524295,71.597631 
956.961174,71.518985 
958.398053,71.427794 
959.834931,71.389927 
961.271810,71.310893 
962.708689,71.249203 
964.145567,71.221469 
965.582446,71.114237 
967.019325,71.033964 
968.456203,71.011437 
969.893082,70.995677 
971.329961,71.020018 
972.766839,71.000566 
974.203718,70.968347 
975.640596,70.995203 
977.077475,71.006445 
978.514354,71.039750 
979.951232,71.092538 
981.388111,71.132287 
982.824990,71.207872 
984.261868,71.249240 
985.698747,71.273474 
987.135626,71.333196 
988.572504,71.373286 
990.009383,71.452267 
991.446261,71.523389 
992.883140,71.522248 
994.320019,71.583470 
995.756897,71.673743 
997.193776,71.726405 
