3480.13	126.474
3478.86	157.474
3477.58	170.105
3476.3	183.368
3475.02	198.211
3473.74	188.421
3472.46	198.579
3471.18	194.105
3469.9	223.053
3468.62	217.895
3467.34	221.421
3466.06	234.789
3464.78	229
3463.5	228.789
3462.22	250.421
3460.93	244.158
3459.65	268.263
3458.37	264.842
3457.08	251.421
3455.8	280.842
3454.52	276.053
3453.23	283.105
3451.95	286.684
3450.66	294.579
3449.38	295.947
3448.09	294.421
3446.81	294.316
3445.52	322.526
3444.23	342.737
3442.95	309.895
3441.66	325.947
3440.37	322.421
3439.08	338.421
3437.79	358
3436.51	347.632
3435.22	334.789
3433.93	345.421
3432.64	378.737
3431.35	360.895
3430.06	349.895
3428.77	362.263
3427.48	342.421
3426.18	384.263
3424.89	371.053
3423.6	379.158
3422.31	402
3421.01	385.526
3419.72	391
3418.43	384.368
3417.13	418.053
3415.84	394.421
3414.55	404
3413.25	417.368
3411.96	390.421
3410.66	397.105
3409.36	406.158
3408.07	398.263
3406.77	424.263
3405.47	420.105
3404.18	420.474
3402.88	438.053
3401.58	437.737
3400.28	432.263
3398.99	445.526
3397.69	444.632
3396.39	458.053
3395.09	450.158
3393.79	474.842
3392.49	477.105
3391.19	468.105
3389.89	468.895
3388.58	479.684
3387.28	487.158
3385.98	491.632
3384.68	495.579
3383.38	498.053
3382.07	514.263
3380.77	501.211
3379.47	527.632
3378.16	498.947
3376.86	506.263
3375.55	508.263
3374.25	528.211
3372.94	520.263
3371.64	525.579
3370.33	524.211
3369.02	536.789
3367.72	530.158
3366.41	544.579
3365.1	525.368
3363.8	543.895
3362.49	555.895
3361.18	531.474
3359.87	544.947
3358.56	564.947
3357.25	551.421
3355.94	524.842
3354.63	562.632
3353.32	551.053
3352.01	565.474
3350.7	568.158
3349.39	572.842
3348.08	559.421
3346.76	559.263
3345.45	570.263
3344.14	588.053
3342.83	571.316
3341.51	580.421
3340.2	590.474
3338.88	612.053
3337.57	603.737
3336.26	600.947
3334.94	605.579
3333.62	616.579
3332.31	632.947
3330.99	639.211
3329.67	635.947
3328.36	632.053
3327.04	642.211
3325.72	628.421
3324.41	642.842
3323.09	653.684
3321.77	649.421
3320.45	660
3319.13	647.105
3317.81	661.105
3316.49	681.474
3315.17	671.895
3313.85	667.421
3312.53	694.684
3311.21	663.684
3309.88	670
3308.56	652.895
3307.24	693.79
3305.92	668.421
3304.59	700.158
3303.27	683.632
3301.95	668.632
3300.62	684.421
3299.3	675.947
3297.97	689.421
3296.65	695.895
